Layer   Thickness_m   Depth_m   Sand_%   Clay_%   TSOIL_K   Tot_wat_cont
1       0.10          0.10       100     0        271.15    0.4455
2       0.10          0.20       100     0        271.15    0.4455
3       0.10          0.30       100     0        271.15    0.4455
4       0.10          0.40       100     0        271.15    0.4455
5       0.10          0.50       100     0        271.15    0.4455
6       0.10          0.60       100     0        271.15    0.4455
7       0.10          0.70       0       30       271.15    0.3285
8       0.10          0.80       0       30       271.15    0.3285
9       0.10          0.90       0       30       271.15    0.3285
10      0.10          1.00       0       30       271.15    0.3285
11      0.25          1.25       0       30       271.15    0.3285
12      0.50          1.75       0       30       271.15    0.3285
13      0.75          2.50       0       30       271.15    0.3285
14      1.00          3.50       0       30       271.15    0.3285
15      2.00          5.50       0       30       271.15    0.3285
16      2.50          8.00       0       30       271.15    0.3285
17      3.00          11.0       0       30       271.15    0.3285
18      3.00          14.0       0       30       271.15    0.3285
19      3.00          17.0       0       30       271.15    0.3285
20      4.00          21.0       0       30       271.15    0.3285
